fondo,tna,rendimiento_mensual,categoria
MAF Liquidez - Clase A,38.5154,41.5755,Money Market
Chaco FCI Money Market - Clase A,37.3536,40.3214,Money Market
Delta Pesos - Clase X,37.2597,40.22,Money Market
Schroder Liquidez - Clase B,37.043,39.9862,Money Market
Mercado Fondo - Clase A,36.6319,39.5423,Money Market
Balanz Capital Money Market - Clase A,35.9493,38.8056,Money Market
Cocos Ahorro - Clase A,34.2767,37.0,Money Market
IOL Dólar Ahorro Plus - Clase D,3.4275,19.68,Money Market
MAF Ahorro Plus - Clase C,140.0439,151.1707,Renta Fija
Compass Opportunity - Clase F,25.9291,27.9893,Renta Fija
Compass Renta Fija III - Clase F,24.3963,26.3347,Renta Fija
IOL Dólar Ahorro Plus - Clase C,4.2141,20.5,Renta Fija
Alpha Latam - Clase A,29.778,32.144,Renta Variable
Alpha Latam - Clase Q Ley N° 27.743,18.8189,5.7092,Renta Variable
Fima Acciones Latinoamerica - Clase A,15.6671,16.9119,Renta Variable
Delta Select - Clase G,-498.82,-538.45,Renta Variable
Alpha Renta Balanceada Global - Clase D,-342.32,-369.52,Renta Mixta
Alpha Retorno Total - Clase I,-342.72999999999996,-369.97,Renta Mixta
Schroder Retorno Absoluto Dólares - Clase B,-498.94999999999993,-538.6,Renta Mixta
Delta Multimercado I - Clase G,-499.03000000000003,-538.6700000000001,Renta Mixta
Gainvest Balanceado - Clase F,-2837.1099999999997,-3062.52,Renta Mixta
Gainvest Balanceado - Clase E,-2837.28,-3062.71,Renta Mixta
